id,key,self,resolutiondate,created,resolutiontime,timespent,commentlength
'13256389', 'CONFIGURATION-760', 'https://issues.apache.org/jira/rest/api/2/issue/13256389',2019-09-12T16:03:15.000+0000, '2019-09-12T16:03:15.000+0000',0.0,1200,5890
'13270456', 'GRIFFIN-301', 'https://issues.apache.org/jira/rest/api/2/issue/13270456',2019-11-25T20:37:59.000+0000, '2019-11-25T14:13:59.000+0000',0.26666666666666666,1800,318
'13450303', 'NIFI-10122', 'https://issues.apache.org/jira/rest/api/2/issue/13450303',2022-06-15T20:13:29.000+0000, '2022-06-15T20:13:29.000+0000',0.0,1200,1387
'13232949', 'SCM-926', 'https://issues.apache.org/jira/rest/api/2/issue/13232949',2019-05-13T10:20:48.000+0000, '2019-05-13T10:20:48.000+0000',0.0,600,1600
'13250528', 'OODT-1018', 'https://issues.apache.org/jira/rest/api/2/issue/13250528',2019-08-14T05:38:14.000+0000, '2019-08-13T12:02:14.000+0000',0.7333333333333333,2400,176
'13362741', 'HDFS-15879', 'https://issues.apache.org/jira/rest/api/2/issue/13362741',2021-03-07T11:14:21.000+0000, '2021-03-06T01:38:21.000+0000',1.4,22200,334
'13226703', 'MESOS-9707', 'https://issues.apache.org/jira/rest/api/2/issue/13226703',2019-04-08T15:26:18.000+0000, '2019-04-08T13:50:18.000+0000',0.06666666666666667,600,972
'13420550', 'LOG4J2-3310', 'https://issues.apache.org/jira/rest/api/2/issue/13420550',2022-01-06T20:54:32.000+0000, '2022-01-04T09:42:32.000+0000',2.466666666666667,600,162
'13411639', 'CURATOR-623', 'https://issues.apache.org/jira/rest/api/2/issue/13411639',2021-11-26T10:34:21.000+0000, '2021-11-13T20:10:21.000+0000',12.6,7800,147
'13344759', 'CRYPTO-155', 'https://issues.apache.org/jira/rest/api/2/issue/13344759',2020-12-08T14:10:18.000+0000, '2020-12-08T09:22:18.000+0000',0.2,1800,1156
'13440746', 'YARN-11114', 'https://issues.apache.org/jira/rest/api/2/issue/13440746',2022-04-22T01:47:35.000+0000, '2022-04-20T17:47:35.000+0000',1.3333333333333333,6600,925
'13210259', 'JXR-143', 'https://issues.apache.org/jira/rest/api/2/issue/13210259',2019-01-20T19:35:30.000+0000, '2019-01-17T22:47:30.000+0000',2.8666666666666667,1200,125
'13251545', 'SYNAPSE-1109', 'https://issues.apache.org/jira/rest/api/2/issue/13251545',2019-08-19T12:08:31.000+0000, '2019-08-19T10:32:31.000+0000',0.06666666666666667,3000,1393
'13263432', 'BEANUTILS-527', 'https://issues.apache.org/jira/rest/api/2/issue/13263432',2019-10-20T21:27:08.000+0000, '2019-10-20T21:27:08.000+0000',0.0,600,2863
'13354036', 'LUCENE-9694', 'https://issues.apache.org/jira/rest/api/2/issue/13354036',2021-01-23T07:15:30.000+0000, '2021-01-22T21:39:30.000+0000',0.4,9600,891
'13210216', 'CAMEL-13077', 'https://issues.apache.org/jira/rest/api/2/issue/13210216',2019-01-18T05:32:51.000+0000, '2019-01-17T18:20:51.000+0000',0.4666666666666667,2400,475
'13282772', 'RAT-266', 'https://issues.apache.org/jira/rest/api/2/issue/13282772',2020-02-01T15:42:56.000+0000, '2020-02-01T15:42:56.000+0000',0.0,1200,948
'13302491', 'UNOMI-334', 'https://issues.apache.org/jira/rest/api/2/issue/13302491',2020-05-03T07:54:25.000+0000, '2020-05-03T07:54:25.000+0000',0.0,1800,3041
'13426096', 'AVRO-3350', 'https://issues.apache.org/jira/rest/api/2/issue/13426096',2022-02-01T23:08:19.000+0000, '2022-02-01T23:08:19.000+0000',0.0,1800,1389
'13294513', 'MINVOKER-262', 'https://issues.apache.org/jira/rest/api/2/issue/13294513',2020-04-01T08:59:58.000+0000, '2020-03-27T16:59:58.000+0000',4.666666666666667,600,180
'13367219', 'FLUME-3389', 'https://issues.apache.org/jira/rest/api/2/issue/13367219',2021-04-17T13:46:41.000+0000, '2021-03-24T12:10:41.000+0000',24.066666666666666,7800,69
'12995518', 'QPID-7381', 'https://issues.apache.org/jira/rest/api/2/issue/12995518',2016-08-09T22:35:11.000+0000, '2016-08-08T00:11:11.000+0000',1.9333333333333333,3600,230
'13320275', 'COMPRESS-550', 'https://issues.apache.org/jira/rest/api/2/issue/13320275',2020-08-04T10:06:56.000+0000, '2020-07-30T21:18:56.000+0000',4.533333333333333,6000,756
'13334198', 'ARTEMIS-2936', 'https://issues.apache.org/jira/rest/api/2/issue/13334198',2020-10-09T07:41:13.000+0000, '2020-10-07T14:05:13.000+0000',1.7333333333333334,1200,196
'13232106', 'SINGA-455', 'https://issues.apache.org/jira/rest/api/2/issue/13232106',2019-05-09T08:36:15.000+0000, '2019-05-07T21:24:15.000+0000',1.4666666666666666,1800,910
'13169409', 'MPIR-373', 'https://issues.apache.org/jira/rest/api/2/issue/13169409',2018-07-29T06:13:45.000+0000, '2018-07-01T15:49:45.000+0000',27.6,600,5943
'13344033', 'POOL-389', 'https://issues.apache.org/jira/rest/api/2/issue/13344033',2020-12-03T14:35:02.000+0000, '2020-12-03T14:35:02.000+0000',0.0,1800,3158
'13085910', 'OOZIE-2981', 'https://issues.apache.org/jira/rest/api/2/issue/13085910',2017-07-10T22:48:35.000+0000, '2017-07-10T11:36:35.000+0000',0.4666666666666667,14400,114
'13391352', 'LOG4NET-671', 'https://issues.apache.org/jira/rest/api/2/issue/13391352',2021-08-01T06:11:29.000+0000, '2021-07-22T12:35:29.000+0000',9.733333333333333,600,648
'13235214', 'MADLIB-1351', 'https://issues.apache.org/jira/rest/api/2/issue/13235214',2019-06-06T17:42:02.000+0000, '2019-05-23T19:18:02.000+0000',13.933333333333334,53400,12
'12987124', 'DIRMINA-1039', 'https://issues.apache.org/jira/rest/api/2/issue/12987124',2016-07-09T09:58:46.000+0000, '2016-07-06T11:34:46.000+0000',2.933333333333333,600,136
'13219384', 'TEXT-153', 'https://issues.apache.org/jira/rest/api/2/issue/13219384',2019-03-04T20:27:03.000+0000, '2019-03-04T20:27:03.000+0000',0.0,4800,814
'13264148', 'SAMZA-2361', 'https://issues.apache.org/jira/rest/api/2/issue/13264148',2019-10-24T20:58:37.000+0000, '2019-10-24T00:10:37.000+0000',0.8666666666666667,4200,885
'13376196', 'MAPREDUCE-7342', 'https://issues.apache.org/jira/rest/api/2/issue/13376196',2021-05-09T08:19:15.000+0000, '2021-05-01T08:19:15.000+0000',8.0,3000,1124
'13206942', 'HTTPCORE-565', 'https://issues.apache.org/jira/rest/api/2/issue/13206942',2018-12-29T21:42:26.000+0000, '2018-12-29T16:54:26.000+0000',0.2,600,508
'13294788', 'WAGON-585', 'https://issues.apache.org/jira/rest/api/2/issue/13294788',2020-03-29T02:25:52.000+0000, '2020-03-29T00:49:52.000+0000',0.06666666666666667,1200,709
'13211193', 'NETBEANS-1976', 'https://issues.apache.org/jira/rest/api/2/issue/13211193',2019-01-26T19:51:54.000+0000, '2019-01-23T07:03:54.000+0000',3.533333333333333,1200,1223
'13256221', 'MPLUGIN-353', 'https://issues.apache.org/jira/rest/api/2/issue/13256221',2019-09-13T07:21:42.000+0000, '2019-09-11T23:21:42.000+0000',1.3333333333333333,600,75
'13147614', 'CB-13999', 'https://issues.apache.org/jira/rest/api/2/issue/13147614',2018-04-17T05:03:17.000+0000, '2018-03-23T22:39:17.000+0000',24.266666666666666,600,40
'13378923', 'SEDONA-33', 'https://issues.apache.org/jira/rest/api/2/issue/13378923',2021-05-18T03:36:16.000+0000, '2021-05-18T02:00:16.000+0000',0.06666666666666667,1200,1694
'13262293', 'LOG4J2-2707', 'https://issues.apache.org/jira/rest/api/2/issue/13262293',2019-10-18T10:53:17.000+0000, '2019-10-15T06:05:17.000+0000',3.2,6000,204
'13218041', 'SCB-1177', 'https://issues.apache.org/jira/rest/api/2/issue/13218041',2019-03-01T03:52:43.000+0000, '2019-02-26T08:40:43.000+0000',2.8,1200,273
'13444463', 'BEAM-14460', 'https://issues.apache.org/jira/rest/api/2/issue/13444463',2022-05-12T03:11:11.000+0000, '2022-05-11T17:35:11.000+0000',0.4,1200,853
'13259132', 'JOHNZON-282', 'https://issues.apache.org/jira/rest/api/2/issue/13259132',2019-09-26T22:22:53.000+0000, '2019-09-26T20:46:53.000+0000',0.06666666666666667,7800,956
'13066862', 'BAHIR-112', 'https://issues.apache.org/jira/rest/api/2/issue/13066862',2017-04-25T23:34:45.000+0000, '2017-04-25T21:58:45.000+0000',0.06666666666666667,14400,1375
'13298175', 'COLLECTIONS-759', 'https://issues.apache.org/jira/rest/api/2/issue/13298175',2020-04-14T17:52:08.000+0000, '2020-04-14T03:28:08.000+0000',0.6,6000,1294
'13283403', 'WSS-663', 'https://issues.apache.org/jira/rest/api/2/issue/13283403',2020-02-05T19:42:36.000+0000, '2020-02-05T08:30:36.000+0000',0.4666666666666667,600,5975
'13128854', 'GROOVY-8433', 'https://issues.apache.org/jira/rest/api/2/issue/13128854',2018-04-14T07:16:41.000+0000, '2018-01-05T16:52:41.000+0000',98.6,2400,2745
'12631517', 'ACCUMULO-1055', 'https://issues.apache.org/jira/rest/api/2/issue/12631517',2013-05-06T03:11:47.000+0000, '2013-02-08T20:47:47.000+0000',86.26666666666667,6600,522
'13298307', 'BCEL-336', 'https://issues.apache.org/jira/rest/api/2/issue/13298307',2020-04-14T14:59:15.000+0000, '2020-04-14T14:59:15.000+0000',0.0,1200,1174
'13274621', 'OPENJPA-2798', 'https://issues.apache.org/jira/rest/api/2/issue/13274621',2019-12-28T23:53:27.000+0000, '2019-12-15T09:29:27.000+0000',13.6,600,359
'12461799', 'JDO-652', 'https://issues.apache.org/jira/rest/api/2/issue/12461799',2010-12-05T18:45:26.000+0000, '2010-04-12T07:33:26.000+0000',237.46666666666667,1800,434
'13199876', 'SPOT-287', 'https://issues.apache.org/jira/rest/api/2/issue/13199876',2018-12-11T16:35:29.000+0000, '2018-11-21T16:35:29.000+0000',20.0,600,150
'13027578', 'TOBAGO-1666', 'https://issues.apache.org/jira/rest/api/2/issue/13027578',2017-03-02T06:07:21.000+0000, '2016-12-12T20:31:21.000+0000',79.4,1200,56
'13236141', 'NUMBERS-104', 'https://issues.apache.org/jira/rest/api/2/issue/13236141',2019-05-30T12:18:48.000+0000, '2019-05-29T01:06:48.000+0000',1.4666666666666666,3000,1916
'13341605', 'HOP-2211', 'https://issues.apache.org/jira/rest/api/2/issue/13341605',2020-11-19T21:49:12.000+0000, '2020-11-19T15:25:12.000+0000',0.26666666666666666,1200,647
'13158081', 'ORC-361', 'https://issues.apache.org/jira/rest/api/2/issue/13158081',2018-06-12T15:18:59.000+0000, '2018-05-09T04:06:59.000+0000',34.46666666666667,1200,478
'13227926', 'MSKINS-145', 'https://issues.apache.org/jira/rest/api/2/issue/13227926',2019-04-15T16:40:44.000+0000, '2019-04-14T08:40:44.000+0000',1.3333333333333333,1200,188
'13339277', 'RATIS-1137', 'https://issues.apache.org/jira/rest/api/2/issue/13339277',2020-11-07T05:37:00.000+0000, '2020-11-07T05:37:00.000+0000',0.0,4800,1133
'13380913', 'JSIEVE-117', 'https://issues.apache.org/jira/rest/api/2/issue/13380913',2021-06-04T00:04:38.000+0000, '2021-05-28T06:28:38.000+0000',6.733333333333333,1200,354
'13171205', 'MXNET-651', 'https://issues.apache.org/jira/rest/api/2/issue/13171205',2018-07-12T10:45:09.000+0000, '2018-07-10T17:09:09.000+0000',1.7333333333333334,66600,267
'13164712', 'NET-660', 'https://issues.apache.org/jira/rest/api/2/issue/13164712',2018-07-27T04:13:42.000+0000, '2018-06-07T15:25:42.000+0000',49.53333333333333,1200,685
'13232803', 'MINDEXER-117', 'https://issues.apache.org/jira/rest/api/2/issue/13232803',2019-05-16T19:15:57.000+0000, '2019-05-11T12:51:57.000+0000',5.266666666666667,600,107
'13291434', 'MNGSITE-397', 'https://issues.apache.org/jira/rest/api/2/issue/13291434',2020-03-14T03:14:59.000+0000, '2020-03-12T22:26:59.000+0000',1.2,2400,881
'13193829', 'POOL-356', 'https://issues.apache.org/jira/rest/api/2/issue/13193829',2018-11-15T20:26:54.000+0000, '2018-10-24T10:50:54.000+0000',22.4,4200,838
'13244922', 'SUREFIRE-1679', 'https://issues.apache.org/jira/rest/api/2/issue/13244922',2019-07-17T10:13:35.000+0000, '2019-07-15T10:13:35.000+0000',2.0,2400,474
'13345667', 'CSV-267', 'https://issues.apache.org/jira/rest/api/2/issue/13345667',2020-12-12T07:51:15.000+0000, '2020-12-12T07:51:15.000+0000',0.0,3600,2173
'12990699', 'APEXMALHAR-2161', 'https://issues.apache.org/jira/rest/api/2/issue/12990699',2016-07-20T17:00:20.000+0000, '2016-07-19T09:00:20.000+0000',1.3333333333333333,28800,56
'12946417', 'MSOURCES-95', 'https://issues.apache.org/jira/rest/api/2/issue/12946417',2016-05-22T17:51:46.000+0000, '2016-03-03T06:39:46.000+0000',80.46666666666667,1800,3064
'13408506', 'HOP-3444', 'https://issues.apache.org/jira/rest/api/2/issue/13408506',2021-10-26T16:31:53.000+0000, '2021-10-26T16:31:53.000+0000',0.0,2400,2125
'13256108', 'MSHADE-327', 'https://issues.apache.org/jira/rest/api/2/issue/13256108',2019-09-11T12:42:06.000+0000, '2019-09-11T12:42:06.000+0000',0.0,1200,171
'13382796', 'AMQNET-718', 'https://issues.apache.org/jira/rest/api/2/issue/13382796',2021-06-15T09:21:24.000+0000, '2021-06-08T22:09:24.000+0000',6.466666666666667,7800,394
'13226947', 'DAEMON-399', 'https://issues.apache.org/jira/rest/api/2/issue/13226947',2019-04-13T17:49:51.000+0000, '2019-04-09T13:01:51.000+0000',4.2,1200,611
