id,key,self,resolutiondate,created,resolutiontime,timespent,titlelength,commentlength,percent_tone,percent_relevance
'13300848', 'DIRMINA-1124', 'https://issues.apache.org/jira/rest/api/2/issue/13300848',2020-04-28T16:13:03.000+0000, '2020-04-24T17:49:03.000+0000',3.933333333333333,2400,45.7585747943785,392,0.0,2.07611361208022
'12860523', 'GORA-430', 'https://issues.apache.org/jira/rest/api/2/issue/12860523',2016-01-02T14:52:54.000+0000, '2015-08-29T21:16:54.000+0000',125.73333333333333,4800,47.1358866084005,161,0.0,1.27291548578418
'13024220', 'CALCITE-1513', 'https://issues.apache.org/jira/rest/api/2/issue/13024220',2017-01-23T16:16:45.000+0000, '2016-11-29T21:04:45.000+0000',54.8,1200,65.2220923814922,3094,0.0,1.02725928521441
'13084171', 'CAMEL-11497', 'https://issues.apache.org/jira/rest/api/2/issue/13084171',2017-08-22T11:31:37.000+0000, '2017-07-03T08:19:37.000+0000',50.13333333333333,1200,60.3615251958901,78,0.0,0.662673778871372
'13234141', 'CSV-239', 'https://issues.apache.org/jira/rest/api/2/issue/13234141',2019-05-19T10:08:23.000+0000, '2019-05-19T02:08:23.000+0000',0.3333333333333333,12600,42.8936647097472,1441,0.0,2.19146581752991
'13209976', 'COMPRESS-477', 'https://issues.apache.org/jira/rest/api/2/issue/13209976',2019-02-08T20:29:09.000+0000, '2019-01-16T17:17:09.000+0000',23.133333333333333,52200,33.0626135076436,1208,0.0,5.8374090709853
'13133413', 'CAMEL-12191', 'https://issues.apache.org/jira/rest/api/2/issue/13133413',2018-03-17T12:35:54.000+0000, '2018-01-24T15:47:54.000+0000',51.86666666666667,1200,100.616702151311,36,0.0,0.337916064361457
'13321402', 'CRYPTO-149', 'https://issues.apache.org/jira/rest/api/2/issue/13321402',2020-08-07T02:40:41.000+0000, '2020-08-06T23:28:41.000+0000',0.13333333333333333,1800,51.1816459476242,3455,0.0,2.40320524521368
'13212232', 'HDDS-1017', 'https://issues.apache.org/jira/rest/api/2/issue/13212232',2019-01-29T09:39:22.000+0000, '2019-01-28T12:51:22.000+0000',0.8666666666666667,1200,57.5612771213159,914,0.0,1.51143276089304
'13222392', 'DELTASPIKE-1373', 'https://issues.apache.org/jira/rest/api/2/issue/13222392',2019-03-18T18:37:34.000+0000, '2019-03-18T18:37:34.000+0000',0.0,4800,40.2102362001038,382,0.0,2.23823604397946
'13068169', 'CARBONDATA-1008', 'https://issues.apache.org/jira/rest/api/2/issue/13068169',2017-05-08T08:52:22.000+0000, '2017-05-01T16:52:22.000+0000',6.666666666666667,136200,45.6412517898058,113,0.0,1.00786017464741
'13288335', 'FREEMARKER-135', 'https://issues.apache.org/jira/rest/api/2/issue/13288335',2020-02-28T16:33:47.000+0000, '2020-02-28T16:33:47.000+0000',0.0,1200,59.4776410459869,3053,0.0,1.79899535553654
'13130580', 'ARTEMIS-1604', 'https://issues.apache.org/jira/rest/api/2/issue/13130580',2018-02-10T02:29:02.000+0000, '2018-01-12T16:53:02.000+0000',28.4,53400,45.8595421020137,453,0.0,2.11515413268247
'13270340', 'CODEC-270', 'https://issues.apache.org/jira/rest/api/2/issue/13270340',2019-11-25T03:34:17.000+0000, '2019-11-24T22:46:17.000+0000',0.2,1200,61.2989158526404,1152,0.0,1.7129177333644
'12923712', 'HADOOP-12666', 'https://issues.apache.org/jira/rest/api/2/issue/12923712',2016-01-02T18:46:50.000+0000, '2015-12-22T10:46:50.000+0000',11.333333333333334,1209600,62.3569166066452,453,0.0,2.61398428386418
'13229574', 'FINCN-148', 'https://issues.apache.org/jira/rest/api/2/issue/13229574',2019-04-25T21:39:18.000+0000, '2019-04-23T10:27:18.000+0000',2.466666666666667,36000,70.8064582940055,468,0.0,2.49977197369558
'13207692', 'ARIES-1880', 'https://issues.apache.org/jira/rest/api/2/issue/13207692',2019-01-04T14:05:31.000+0000, '2019-01-04T14:05:31.000+0000',0.0,1200,44.398802470948,213,0.0,0.878402070090051
'12905346', 'CASSANDRA-10537', 'https://issues.apache.org/jira/rest/api/2/issue/12905346',2016-03-22T12:20:48.000+0000, '2015-10-15T21:56:48.000+0000',158.6,12000,91.4274219353997,1248,0.0,2.83284811621401
'13248902', 'AVRO-2498', 'https://issues.apache.org/jira/rest/api/2/issue/13248902',2019-09-30T05:33:39.000+0000, '2019-08-05T15:09:39.000+0000',55.6,9600,68.1082077482578,453,0.0,1.1305539015886
'13232330', 'BCEL-317', 'https://issues.apache.org/jira/rest/api/2/issue/13232330',2019-05-12T18:08:38.000+0000, '2019-05-08T21:20:38.000+0000',3.8666666666666667,2400,29.8929869334054,3638,0.0,3.57943487676126
'13222731', 'DELTASPIKE-1374', 'https://issues.apache.org/jira/rest/api/2/issue/13222731',2019-03-20T13:27:00.000+0000, '2019-03-20T05:27:00.000+0000',0.3333333333333333,2400,46.2578737065901,221,0.0,1.3186944213415
'12972279', 'DIRKRB-573', 'https://issues.apache.org/jira/rest/api/2/issue/12972279',2016-05-24T08:33:54.000+0000, '2016-05-24T05:21:54.000+0000',0.13333333333333333,600,37.7569519285753,92,0.0,1.82747802657712
'13223209', 'CURATOR-511', 'https://issues.apache.org/jira/rest/api/2/issue/13223209',2019-03-21T22:02:36.000+0000, '2019-03-21T22:02:36.000+0000',0.0,3600,30.9953904042467,79,0.0,0.580731514113589
'13368052', 'GROOVY-10002', 'https://issues.apache.org/jira/rest/api/2/issue/13368052',2021-03-27T06:08:54.000+0000, '2021-03-27T04:32:54.000+0000',0.06666666666666667,1800,49.4642667152979,621,0.0,2.30469402601581
